artist_name,artist_id,genre
Rels B,2IMZYfNi21MGqxopj9fWx8,r&b en espanol
Rels B,2IMZYfNi21MGqxopj9fWx8,spanish hip hop
Rels B,2IMZYfNi21MGqxopj9fWx8,trap latino
Rels B,2IMZYfNi21MGqxopj9fWx8,urbano espanol
Rels B,2IMZYfNi21MGqxopj9fWx8,urbano latino
Cris Valencia,7xP0fQcNHEMD9yL5j4ERz1,
Luis Alfonso,0GchaVw5KfSVEm0xl0OXEe,musica popular colombiana
Ryan Castro,7j6DKwmjbxvpQO8h914uEz,reggaeton
Ryan Castro,7j6DKwmjbxvpQO8h914uEz,trap colombiano
Ryan Castro,7j6DKwmjbxvpQO8h914uEz,trap latino
Ryan Castro,7j6DKwmjbxvpQO8h914uEz,urbano latino
Ñejo & Dalmata,1ykothWH0xl8drRyJWuw7I,reggaeton
Ñejo & Dalmata,1ykothWH0xl8drRyJWuw7I,urbano latino
Dalmata,3jGlU8UMMo44I2xeLQ6FD3,reggaeton
Dalmata,3jGlU8UMMo44I2xeLQ6FD3,urbano latino
Dimension Latina,2ixSzFmACsZSsx40fXTNYk,classic venezuelan pop
Dimension Latina,2ixSzFmACsZSsx40fXTNYk,salsa
Dimension Latina,2ixSzFmACsZSsx40fXTNYk,salsa venezolana
Tego Calderón,3SUT1jjM5hzZj9TLfLZGIP,latin hip hop
Tego Calderón,3SUT1jjM5hzZj9TLfLZGIP,rap boricua
Tego Calderón,3SUT1jjM5hzZj9TLfLZGIP,reggaeton
Tego Calderón,3SUT1jjM5hzZj9TLfLZGIP,trap latino
Tego Calderón,3SUT1jjM5hzZj9TLfLZGIP,urbano latino
MEL GRANDA,6h9lS66Ib3dOiz3Gg6PpI1,
La Joaqui,60XHOAhvEBiV6BGBOv8ClM,argentine hip hop
La Joaqui,60XHOAhvEBiV6BGBOv8ClM,rap latina
Q' Lokura,7dlkBH23ERFXxuNoMHq94Y,cuarteto
Maria Becerra,1DxLCyH42yaHKGK3cl5bvG,pop argentino
Maria Becerra,1DxLCyH42yaHKGK3cl5bvG,urbano latino
Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,argentine hip hop
Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,r&b argentino
Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,trap argentino
Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,trap latino
Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,urbano latino
Emilia,0AqlFI0tz2DsEoJlKSIiT9,pop argentino
Salastkbron,3WMlRpW5JWuDI95TcEWt3r,pop argentino
ECKO,2Jb9jVnCpWkXtoGznFJ6bF,argentine hip hop
ECKO,2Jb9jVnCpWkXtoGznFJ6bF,trap argentino
elaggume,5RopQXy9tobYADC0GZyLVb,
Milo j,19HM5j0ULGSmEoRcrSe5x3,trap argentino
